text,text_preprocessing_awal,label_sentimen,confidence
Media Asing Sorot Prabowo Ganti Kepala BGN Sebut Ini... Media asing menyoroti langkah Presiden Prabowo Subianto mengganti Kepala Badan Gizi Nasional (BGN) Selasa malam... Presiden Indonesia Prabowo Subianto pada hari Selasa memecat kepala badan yang bertanggung jawab atas https://t.co/19WUTRkJ2t,media asing sorot prabowo ganti kepala bgn sebut ini... media asing menyoroti langkah presiden prabowo subianto mengganti kepala badan gizi nasional (bgn) selasa malam... presiden indonesia prabowo subianto pada hari selasa memecat kepala badan yang bertanggung jawab atas HTTPURL,netral,0.9971087574958801
@txtdrimedia Berikut ini perkiraan penyebab kematian sapi menurut ahli keblinger : 1. Lingkar perut terlampau besar ukuran celana lebih dari 33 mungkin ini ukuran 40. 2. Keracunan MBG. 3. Ditembak mati karena membuat atasan tersinggung. 4. HIDUP JOKOOWIIIIII,@USER berikut ini perkiraan penyebab kematian sapi menurut ahli keblinger : 1. lingkar perut terlampau besar ukuran celana lebih dari 33 mungkin ini ukuran 40. 2. keracunan mbg. 3. ditembak mati karena membuat atasan tersinggung. 4. hidup jokoowiiiiii,negatif,0.9921145439147949
@TeddGus Santai aja @TeddGus .. ngapain lw respon netijen yang bilang Prabowo jalan jalan terus.. yang perlu lw respon MBG bikin anak murid keracunan.. kop merah putih mau terbang tapi matiin dlu Indomart sama Alfamart.. padahal itu gede penghasilan pajaknya.. PPh 25 PPh 29 PPn PPh 21,@USER santai aja @USER .. ngapain lw respon netijen yang bilang prabowo jalan jalan terus.. yang perlu lw respon mbg bikin anak murid keracunan.. kop merah putih mau terbang tapi matiin dlu indomart sama alfamart.. padahal itu gede penghasilan pajaknya.. pph 25 pph 29 ppn pph 21,negatif,0.9657666683197021
@Ogaman888 Kalo orang pinter dan ga rakus ide itu masih tetap realistis. Gimana caranya? Ya ngga langsung dong dibagi fase lah. Emang kayak MBG. Belum teruji hasilnya tau-tau dilakuin serentak. Boncos iya nambah gizi juga nggak yang ada keracunan.,@USER kalo orang pinter dan ga rakus ide itu masih tetap realistis. gimana caranya? ya ngga langsung dong dibagi fase lah. emang kayak mbg. belum teruji hasilnya tau-tau dilakuin serentak. boncos iya nambah gizi juga nggak yang ada keracunan.,netral,0.6919611692428589
@mfsa118 kata pemilihnya karna beliau background militer jadi pasti bagus pertahanan Indonesia faktanya program MBG tidak begitu efektif dan efisien malah banyak siswa keracunan. aku pun bingung bang aku sebagai orang Indonesia ni lebih butuh pendidikan gratis,@USER kata pemilihnya karna beliau background militer jadi pasti bagus pertahanan indonesia faktanya program mbg tidak begitu efektif dan efisien malah banyak siswa keracunan. aku pun bingung bang aku sebagai orang indonesia ni lebih butuh pendidikan gratis,negatif,0.9697151184082031
@bapinski13 @chococookiesess Food-waste parah. Anakku dapet jatah mbg ga sekalipun pernah dikasih makan ke anak soalnya takut keracunan anakku jg belum usia sampe dua tahun pernah ada menunya ayam balado wkwk orang gila. Ga ngerti sebelah mana gizi untuk mencegah stuntingnya kek asal aja. Tai banteng.,@USER @USER food-waste parah. anakku dapet jatah mbg ga sekalipun pernah dikasih makan ke anak soalnya takut keracunan anakku jg belum usia sampe dua tahun pernah ada menunya ayam balado wkwk orang gila. ga ngerti sebelah mana gizi untuk mencegah stuntingnya kek asal aja. tai banteng.,negatif,0.9977128505706787
@Grock230 1. MBG bikin banyak terjadi keracunan. 2. MBG menu banyak terbuang. 3. MBG telah banyak mengeluarkan dana. 4.........,@USER 1. mbg bikin banyak terjadi keracunan. 2. mbg menu banyak terbuang. 3. mbg telah banyak mengeluarkan dana. 4.........,negatif,0.9925158619880676
@Bambangmulyonoo Mbg ga ada manfaatnya bisa membuat murid mati keracunan,@USER mbg ga ada manfaatnya bisa membuat murid mati keracunan,negatif,0.9971869587898254
@MiskinTV_ Rekam jejak MBG Makanan 'Bergizi' 'Gratis': 30.000+ pelajar KERACUNAN (ini dianggap sepele haha) Makanan TIDAK LAYAK MAKAN yaitu LELE MENTAH Bergizi? Yg dikasih biskuit dan snack tinggi gula dan sodium https://t.co/xFgyi3f8rb Korupsinya gk ngotak #StopMBG #CancelMBG,@USER rekam jejak mbg makanan 'bergizi' 'gratis': 30.000+ pelajar keracunan (ini dianggap sepele haha) makanan tidak layak makan yaitu lele mentah bergizi? yg dikasih biskuit dan snack tinggi gula dan sodium HTTPURL korupsinya gk ngotak #stopmbg #cancelmbg,negatif,0.9977432489395142
@99propaganda Lo aja yg bloon klu semua kerjaannya di kritik berarti kerja nya yg gk beres.. MBG : keracunan Dolar : makin naik Qurban pakai pribadi tp pakai Dana APBN.. Jd apanya yg mau di apresiasi? Jogednya? Macam badut Apanya ayo?,@USER lo aja yg bloon klu semua kerjaannya di kritik berarti kerja nya yg gk beres.. mbg : keracunan dolar : makin naik qurban pakai pribadi tp pakai dana apbn.. jd apanya yg mau di apresiasi? jogednya? macam badut apanya ayo?,negatif,0.996004045009613
